更新时间,#genre#
20251124-10-35-10,url


whitelist,#genre#
CCTV6,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv6hd/2000/index.m3u8?msisdn=202511241600350ceae42b93e04ec7b669af97054749a1&mdspid=&spid=699004&netType=0&sid=5500212872&pid=2028597139&timestamp=20251124160035&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878396&ParentNodeID=-99&assertID=5500212872&client_ip=106.13.250.88&SecurityKey=20251124160035&promotionId=&mvid=5100001694&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=c314e8329df63f97e1927fe01f90ccc3&ddCalcu=3cc3ec12c440e098f31209edff76239f19e7
CCTV5,http://111.113.88.198:2000/rtp/239.121.4.152:8896
CCTV6,http://114.107.44.68:8188/rtp/238.1.78.172:7248
CCTV6,http://115.171.216.120:4000/rtp/225.1.8.84:8000
CCTV7,http://114.254.33.252:18888/rtp/239.3.1.61:8104
CCTV7,http://121.231.65.86:8095/rtp/239.49.1.254:6000
CCTV7,http://116.235.57.69:4022/rtp/239.45.3.56:5140
CCTV7,http://61.159.134.162:4022/rtp/238.255.2.12:5999
CCTV7,http://121.29.141.197:4022/rtp/239.253.92.194:6059
CCTV7,http://114.100.195.157:4022/rtp/238.1.78.239:7784
CCTV7,http://1.58.246.115:4000/rtp/229.58.190.132:5000
CCTV7,http://111.113.88.198:2000/rtp/239.121.4.156:8920
CCTV7,http://223.167.230.235:4022/rtp/239.45.3.56:5140
CCTV7,http://111.162.204.74:8686/rtp/225.1.1.138:5002
CCTV7,http://1.58.246.115:4001/rtp/229.58.190.132:5000
CCTV7,http://115.171.80.57:1688/rtp/225.1.8.7:8104
CCTV7,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv7hd/51/index.m3u8?msisdn=202511241600353e92917b779442f4971ea7545ae1d3df&mdspid=&spid=699004&netType=0&sid=5501083622&pid=2028597139&timestamp=20251124160035&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=673168121&ParentNodeID=-99&assertID=5501083622&client_ip=106.13.250.88&SecurityKey=20251124160035&promotionId=&mvid=5102910278&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=b414b36f9e858352f519bfabd2aa7edb&ddCalcu=bbd4ee12743ab0a326dfb9aef8b5981355f2
CCTV7,http://36.46.98.173:8025/rtp/239.112.205.83:5140
CCTV7,http://27.184.29.216:12312/rtp/239.254.200.159:6000
