🎬主频道,#genre#
📺CCTV,#genre#
CCTV11,http://106.59.2.235:55555/rtp/239.200.201.125:8480
CCTV11,http://111.113.88.198:2000/rtp/239.121.4.150:9202
CCTV11,http://27.191.202.62:19999/rtp/239.254.201.123:8120
CCTV11,http://1.58.246.115:4000/rtp/229.58.190.134:5000
CCTV11,http://180.105.201.177:9981/rtp/239.49.1.11:6000
CCTV11,http://106.120.13.134:4022/rtp/225.1.8.73:8120
CCTV11,http://60.172.82.115:8686/rtp/238.1.78.206:7502
CCTV11,http://121.231.65.86:8095/rtp/239.49.1.11:6000
CCTV11,http://116.235.57.69:4022/rtp/239.45.1.196:5140
CCTV11,http://106.59.3.203:55555/rtp/239.200.201.125:8480
CCTV11,http://1.58.246.115:4001/rtp/229.58.190.134:5000
CCTV11,http://111.162.206.238:8686/rtp/225.1.2.192:5002
CCTV11,http://115.171.216.120:4000/rtp/225.1.8.73:8120
CCTV11,http://61.159.135.203:4022/rtp/238.255.2.14:5999
CCTV11,http://114.100.195.224:4022/rtp/238.1.78.206:7502
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8
CCTV11,http://148.135.93.213:81/live.php?id=CCTV11
CCTV11,http://148.135.93.213/live.php?id=CCTV11
CCTV12,http://223.167.245.20:8001/rtp/239.45.3.10:5140
CCTV12,http://114.107.46.215:8188/rtp/238.1.78.242:7808
CCTV12,http://114.254.38.200:18888/rtp/239.3.1.64:8124
CCTV12,http://117.12.151.130:4022/rtp/225.1.1.142:5002
CCTV12,http://223.198.242.211:4000/rtp/239.253.64.97:5140
CCTV12,http://61.159.135.108:18000/rtp/238.255.2.15:5999
CCTV12,http://115.171.80.57:1688/rtp/225.1.8.12:8124
CCTV12,http://171.113.214.167:4022/rtp/239.69.1.106:10274
CCTV12,http://111.113.88.198:2000/rtp/239.121.4.159:8938
CCTV12,http://27.191.202.62:19999/rtp/239.254.200.161:6000
CCTV12,http://1.58.246.115:4000/rtp/229.58.190.158:5000
