🎬主频道,#genre#
RTHK31,https://rthktv31-live.akamaized.net/hls/live/2036818/RTHKTV31/stream2/streamPlaylist.m3u8
TVBS新闻,http://38.64.72.148/hls/modn/list/4027/chunklist1.m3u8
星空卫视,http://iot-mqqt.111yao.cn:8080/live/diyp_xingkong.m3u8
星空卫视,http://39.107.120.164:8080/live/diyp_xingkong.flv
星空卫视,https://dl.dropboxusercontent.com/scl/fi/rrxb2v21qox1na9onp419/XING_KONG_TV.m3u8?rlkey=s9vs6qgbpfnvum4un2of904wm
星空电影,http://iot-mqqt.111yao.cn:8080/live/diyp_starmovies.m3u8
重温经典,http://115.171.80.57:1688/rtp/225.1.8.39:8002
重温经典,http://106.120.13.134:4022/rtp/225.1.8.39:8002
重温经典,http://115.171.216.120:4000/rtp/225.1.8.39:8002
# 香港共9个频道

📺直播中国,#genre#
熊猫1,http://gslbmgsplive.miguvideo.com/envivo_x/2018/SD/xiongmao01/1000/index.m3u8?msisdn=202511201200414a08d85204d5436d892c188ae94ff484&mdspid=&spid=699004&netType=0&sid=2200200699&pid=2028597139&timestamp=20251120120041&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608933610&ParentNodeID=-99&assertID=2200200699&client_ip=106.13.250.90&SecurityKey=20251120120041&promotionId=&mvid=2200200699&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=0c28402d5355d55d163f9113e1b44d01&ddCalcu=100ced22488440b012ed35131595fd35651d
熊猫10,http://gslbmgsplive.miguvideo.com/envivo_x/2018/SD/xiongmao10/1000/index.m3u8?msisdn=202511201200423d0bd149ece944c49146b84e95a767f1&mdspid=&spid=699004&netType=0&sid=2200192937&pid=2028597139&timestamp=20251120120042&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609169285&ParentNodeID=-99&assertID=2200192937&client_ip=106.13.250.90&SecurityKey=20251120120042&promotionId=&mvid=2200192937&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=9b972d330d826155df26751f7219e6c4&ddCalcu=49cbe692e799201d2373f01d58726621f5d5
熊猫2,http://gslbmgsplive.miguvideo.com/envivo_x/2018/SD/xiongmao02/1000/index.m3u8?msisdn=20251120120041307d922f773e4c66bafd741001b33fa9&mdspid=&spid=699004&netType=0&sid=2200200717&pid=2028597139&timestamp=20251120120041&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608933640&ParentNodeID=-99&assertID=2200200717&client_ip=106.13.250.90&SecurityKey=20251120120041&promotionId=&mvid=2200200717&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=a685b5e4672ad7ea0c7c3c5b05eb4a15&ddCalcu=5a16ea82458bb0e55e04b657c23acd77ce0a
熊猫3,http://gslbmgsplive.miguvideo.com/envivo_x/2018/SD/xiongmao03/1000/index.m3u8?msisdn=2025112012004161458f87db48490b82713a14db80feff&mdspid=&spid=699004&netType=0&sid=2200200738&pid=2028597139&timestamp=20251120120041&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608934619&ParentNodeID=-99&assertID=2200200738&client_ip=106.13.250.90&SecurityKey=20251120120041&promotionId=&mvid=2200200738&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=7a37c455810abc5e32358026334b5843&ddCalcu=374ae832578bc04435356821008a5b3c253e
熊猫4,http://gslbmgsplive.miguvideo.com/envivo_x/2018/SD/xiongmao04/1000/index.m3u8?msisdn=20251120120042331333860aec44e8b3e243599addc84a&mdspid=&spid=699004&netType=0&sid=2200200771&pid=2028597139&timestamp=20251120120042&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608934721&ParentNodeID=-99&assertID=2200200771&client_ip=106.13.250.90&SecurityKey=20251120120042&promotionId=&mvid=2200200771&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=7960e54e984adc9c3f09b006dea7599c&ddCalcu=c799e9625087e0a5e4de690804ba9d0cf93c
熊猫5,http://gslbmgsplive.miguvideo.com/envivo_x/2018/SD/xiongmao05/1000/index.m3u8?msisdn=20251120120042fb25cfcde11845ddb917b0c0a2bf0444&mdspid=&spid=699004&netType=0&sid=2200200791&pid=2028597139&timestamp=20251120120042&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608935104&ParentNodeID=-99&assertID=2200200791&client_ip=106.13.250.90&SecurityKey=20251120120042&promotionId=&mvid=2200200791&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=6685b46c1212a0863b1b6b7465743fbe&ddCalcu=e6b6ef823584b074566c4172b162ba10b836
