🎬主频道,#genre#
凤凰传奇-荷塘月色,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_1565837&response=res&format=mp4&type=convert_url
凤凰传奇-華夏传说,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_40828850&response=res&format=mp4&type=convert_url
凤凰卫视中文,http://27.191.202.62:19999/rtp/239.254.201.2:5226
凤凰卫视中文台,http://148.135.93.213:81/phenix.php?id=fhzw
凤凰卫视电影,http://27.191.202.62:19999/rtp/239.254.201.1:5214
凤凰卫视电影台,http://39.107.120.164:8080/live/diyp_fhdy.flv
凤凰卫视资讯,http://27.191.202.62:19999/rtp/239.254.201.3:5227
凤凰卫视资讯台,http://101.35.240.114:88/phenix.php?id=fhzx
凤凰卫视香港台,http://148.135.93.213:81/phenix.php?id=fhhk
凤凰电影,http://iot-mqqt.111yao.cn:8080/live/diyp_fhdy.m3u8

🕒更新时间,#genre#
更新时间,20251120 18:20:52
总频道数,48
版本,定制精简版
